Category,Setting,Diagnosis,Date,Count
cancer,ambulatory surgery,Primary,2020-03-01,1
cancer,ambulatory surgery,Primary,2020-08-01,1
cancer,ambulatory surgery,Primary,2020-10-01,1
cancer,ambulatory surgery,Primary,2021-07-01,1
cancer,ambulatory surgery,Primary,2021-10-01,1
cardiac arrest,ambulatory surgery,Primary,2020-04-01,2
cardiac arrest,ambulatory surgery,Primary,2020-10-01,4
cardiac arrest,ambulatory surgery,Primary,2020-11-01,1
cardiac arrest,ambulatory surgery,Primary,2020-12-01,1
cardiac arrest,ambulatory surgery,Primary,2021-01-01,1
cardiac arrest,ambulatory surgery,Primary,2021-04-01,1
cardiac arrest,ambulatory surgery,Primary,2021-06-01,2
cardiac arrest,ambulatory surgery,Primary,2021-11-01,2
diabetes,ambulatory surgery,Primary,2021-04-01,1
diabetes,ambulatory surgery,Primary,2021-10-01,1
diabetes,ambulatory surgery,Primary,2021-12-01,1
hypertension,ambulatory surgery,Primary,2020-12-01,1
hypertension,ambulatory surgery,Primary,2021-04-01,1
hypertension,ambulatory surgery,Primary,2021-05-01,1
hypertension,ambulatory surgery,Primary,2021-12-01,1
pneumonia,ambulatory surgery,Primary,2020-01-01,1
sepsis,ambulatory surgery,Primary,2020-01-01,1
sepsis,ambulatory surgery,Primary,2020-04-01,1
sepsis,ambulatory surgery,Primary,2020-07-01,1
sepsis,ambulatory surgery,Primary,2020-12-01,1
sepsis,ambulatory surgery,Primary,2021-01-01,1
sepsis,ambulatory surgery,Primary,2021-02-01,3
sepsis,ambulatory surgery,Primary,2021-06-01,1
sepsis,ambulatory surgery,Primary,2021-08-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,2
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-03-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,1
anxiety,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,3
asthma,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-06-01,1
asthma,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,1
asthma,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,1
asthma,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,1
asthma,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-08-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,1
