Date,Category,Setting,Count
2018-05-01,anxiety,ambulatory surgery,1
2018-09-01,anxiety,ambulatory surgery,1
2018-10-01,anxiety,ambulatory surgery,1
2019-01-01,anxiety,ambulatory surgery,1
2019-06-01,anxiety,ambulatory surgery,1
2020-02-01,anxiety,ambulatory surgery,1
2020-03-01,anxiety,ambulatory surgery,1
2020-04-01,anxiety,ambulatory surgery,1
2020-07-01,anxiety,ambulatory surgery,1
2020-10-01,anxiety,ambulatory surgery,1
2021-02-01,anxiety,ambulatory surgery,2
2021-03-01,anxiety,ambulatory surgery,1
2021-05-01,anxiety,ambulatory surgery,1
2021-08-01,anxiety,ambulatory surgery,1
2021-12-01,anxiety,ambulatory surgery,3
2018-08-01,asthma,ambulatory surgery,1
2018-09-01,asthma,ambulatory surgery,1
2018-11-01,asthma,ambulatory surgery,1
2019-09-01,asthma,ambulatory surgery,1
2019-10-01,asthma,ambulatory surgery,1
2020-06-01,asthma,ambulatory surgery,1
2020-07-01,asthma,ambulatory surgery,1
2021-04-01,asthma,ambulatory surgery,1
2021-06-01,asthma,ambulatory surgery,1
2021-12-01,asthma,ambulatory surgery,1
2018-01-01,cancer,ambulatory surgery,2
2018-02-01,cancer,ambulatory surgery,1
2018-05-01,cancer,ambulatory surgery,1
2018-07-01,cancer,ambulatory surgery,3
2018-08-01,cancer,ambulatory surgery,2
2018-09-01,cancer,ambulatory surgery,2
2018-10-01,cancer,ambulatory surgery,1
2019-01-01,cancer,ambulatory surgery,1
2019-02-01,cancer,ambulatory surgery,3
2019-04-01,cancer,ambulatory surgery,2
2019-07-01,cancer,ambulatory surgery,2
2019-08-01,cancer,ambulatory surgery,1
2019-09-01,cancer,ambulatory surgery,2
2019-10-01,cancer,ambulatory surgery,1
2019-11-01,cancer,ambulatory surgery,1
2020-03-01,cancer,ambulatory surgery,1
2020-04-01,cancer,ambulatory surgery,1
2020-07-01,cancer,ambulatory surgery,1
2020-08-01,cancer,ambulatory surgery,1
2020-10-01,cancer,ambulatory surgery,1
2020-12-01,cancer,ambulatory surgery,1
2021-04-01,cancer,ambulatory surgery,1
2021-05-01,cancer,ambulatory surgery,1
2021-06-01,cancer,ambulatory surgery,1
2021-07-01,cancer,ambulatory surgery,1
2021-08-01,cancer,ambulatory surgery,1
2021-10-01,cancer,ambulatory surgery,2
2021-11-01,cancer,ambulatory surgery,2
2018-01-01,cardiac arrest,ambulatory surgery,4
2018-02-01,cardiac arrest,ambulatory surgery,3
2018-03-01,cardiac arrest,ambulatory surgery,2
2018-04-01,cardiac arrest,ambulatory surgery,4
2018-05-01,cardiac arrest,ambulatory surgery,3
2018-06-01,cardiac arrest,ambulatory surgery,5
2018-07-01,cardiac arrest,ambulatory surgery,2
2018-08-01,cardiac arrest,ambulatory surgery,2
2018-09-01,cardiac arrest,ambulatory surgery,2
2018-10-01,cardiac arrest,ambulatory surgery,4
2018-12-01,cardiac arrest,ambulatory surgery,3
2019-01-01,cardiac arrest,ambulatory surgery,2
2019-02-01,cardiac arrest,ambulatory surgery,1
2019-03-01,cardiac arrest,ambulatory surgery,2
2019-04-01,cardiac arrest,ambulatory surgery,4
2019-05-01,cardiac arrest,ambulatory surgery,4
2019-06-01,cardiac arrest,ambulatory surgery,2
2019-07-01,cardiac arrest,ambulatory surgery,1
2019-08-01,cardiac arrest,ambulatory surgery,3
2019-09-01,cardiac arrest,ambulatory surgery,1
2019-10-01,cardiac arrest,ambulatory surgery,2
2020-01-01,cardiac arrest,ambulatory surgery,1
2020-02-01,cardiac arrest,ambulatory surgery,2
2020-03-01,cardiac arrest,ambulatory surgery,2
2020-04-01,cardiac arrest,ambulatory surgery,4
2020-05-01,cardiac arrest,ambulatory surgery,2
2020-06-01,cardiac arrest,ambulatory surgery,1
2020-08-01,cardiac arrest,ambulatory surgery,1
2020-09-01,cardiac arrest,ambulatory surgery,1
2020-10-01,cardiac arrest,ambulatory surgery,4
2020-11-01,cardiac arrest,ambulatory surgery,3
2020-12-01,cardiac arrest,ambulatory surgery,4
2021-01-01,cardiac arrest,ambulatory surgery,4
2021-02-01,cardiac arrest,ambulatory surgery,5
2021-03-01,cardiac arrest,ambulatory surgery,4
2021-04-01,cardiac arrest,ambulatory surgery,4
2021-05-01,cardiac arrest,ambulatory surgery,3
2021-06-01,cardiac arrest,ambulatory surgery,4
2021-07-01,cardiac arrest,ambulatory surgery,4
2021-08-01,cardiac arrest,ambulatory surgery,1
2021-09-01,cardiac arrest,ambulatory surgery,1
2021-10-01,cardiac arrest,ambulatory surgery,3
2021-11-01,cardiac arrest,ambulatory surgery,5
2021-12-01,cardiac arrest,ambulatory surgery,3
2018-03-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2018-06-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2018-07-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2018-08-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,2
2018-10-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2018-12-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2019-01-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2019-02-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2019-06-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2019-08-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2019-09-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2020-02-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2020-03-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,2
2020-04-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2020-08-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2020-10-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2020-11-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,3
2020-12-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,3
2021-02-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2021-04-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2021-08-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2021-09-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2021-10-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2021-12-01,chronic obstructive pulmonary disease (copd),ambulatory surgery,1
2020-06-01,covid-19,ambulatory surgery,1
2021-01-01,covid-19,ambulatory surgery,1
2021-02-01,covid-19,ambulatory surgery,1
2021-03-01,covid-19,ambulatory surgery,1
2018-04-01,depression,ambulatory surgery,1
2018-07-01,depression,ambulatory surgery,1
2018-10-01,depression,ambulatory surgery,1
2019-01-01,depression,ambulatory surgery,1
2019-02-01,depression,ambulatory surgery,1
2019-03-01,depression,ambulatory surgery,1
2019-04-01,depression,ambulatory surgery,1
2020-02-01,depression,ambulatory surgery,1
2020-04-01,depression,ambulatory surgery,2
2021-01-01,depression,ambulatory surgery,1
2021-02-01,depression,ambulatory surgery,1
2021-07-01,depression,ambulatory surgery,1
2021-08-01,depression,ambulatory surgery,1
2021-12-01,depression,ambulatory surgery,1
2018-01-01,diabetes,ambulatory surgery,1
2018-02-01,diabetes,ambulatory surgery,2
2018-03-01,diabetes,ambulatory surgery,2
2018-05-01,diabetes,ambulatory surgery,2
2018-06-01,diabetes,ambulatory surgery,2
2018-07-01,diabetes,ambulatory surgery,1
2018-08-01,diabetes,ambulatory surgery,5
2018-10-01,diabetes,ambulatory surgery,4
2018-11-01,diabetes,ambulatory surgery,2
2018-12-01,diabetes,ambulatory surgery,3
2019-01-01,diabetes,ambulatory surgery,3
2019-02-01,diabetes,ambulatory surgery,3
2019-03-01,diabetes,ambulatory surgery,2
2019-04-01,diabetes,ambulatory surgery,4
2019-06-01,diabetes,ambulatory surgery,3
2019-07-01,diabetes,ambulatory surgery,1
2019-08-01,diabetes,ambulatory surgery,2
2019-09-01,diabetes,ambulatory surgery,4
2019-10-01,diabetes,ambulatory surgery,3
2020-01-01,diabetes,ambulatory surgery,1
2020-02-01,diabetes,ambulatory surgery,2
2020-03-01,diabetes,ambulatory surgery,3
2020-04-01,diabetes,ambulatory surgery,3
2020-05-01,diabetes,ambulatory surgery,2
2020-06-01,diabetes,ambulatory surgery,2
2020-07-01,diabetes,ambulatory surgery,3
2020-08-01,diabetes,ambulatory surgery,2
2020-10-01,diabetes,ambulatory surgery,1
2020-11-01,diabetes,ambulatory surgery,1
2020-12-01,diabetes,ambulatory surgery,3
2021-01-01,diabetes,ambulatory surgery,1
2021-02-01,diabetes,ambulatory surgery,5
2021-03-01,diabetes,ambulatory surgery,5
2021-04-01,diabetes,ambulatory surgery,3
2021-05-01,diabetes,ambulatory surgery,4
2021-06-01,diabetes,ambulatory surgery,2
2021-08-01,diabetes,ambulatory surgery,4
2021-10-01,diabetes,ambulatory surgery,3
2021-12-01,diabetes,ambulatory surgery,2
2019-11-01,homeless,ambulatory surgery,1
2018-01-01,hypertension,ambulatory surgery,4
2018-02-01,hypertension,ambulatory surgery,5
2018-03-01,hypertension,ambulatory surgery,6
2018-04-01,hypertension,ambulatory surgery,3
2018-05-01,hypertension,ambulatory surgery,5
2018-06-01,hypertension,ambulatory surgery,3
2018-07-01,hypertension,ambulatory surgery,2
2018-08-01,hypertension,ambulatory surgery,12
2018-09-01,hypertension,ambulatory surgery,5
2018-10-01,hypertension,ambulatory surgery,4
2018-11-01,hypertension,ambulatory surgery,5
2018-12-01,hypertension,ambulatory surgery,2
2019-01-01,hypertension,ambulatory surgery,5
2019-02-01,hypertension,ambulatory surgery,4
2019-03-01,hypertension,ambulatory surgery,5
2019-04-01,hypertension,ambulatory surgery,7
2019-05-01,hypertension,ambulatory surgery,3
2019-06-01,hypertension,ambulatory surgery,7
2019-07-01,hypertension,ambulatory surgery,2
2019-08-01,hypertension,ambulatory surgery,7
2019-09-01,hypertension,ambulatory surgery,6
2019-10-01,hypertension,ambulatory surgery,4
2019-11-01,hypertension,ambulatory surgery,1
2019-12-01,hypertension,ambulatory surgery,2
2020-01-01,hypertension,ambulatory surgery,2
2020-02-01,hypertension,ambulatory surgery,1
2020-03-01,hypertension,ambulatory surgery,9
2020-04-01,hypertension,ambulatory surgery,5
2020-05-01,hypertension,ambulatory surgery,2
2020-06-01,hypertension,ambulatory surgery,3
2020-07-01,hypertension,ambulatory surgery,4
2020-08-01,hypertension,ambulatory surgery,2
2020-09-01,hypertension,ambulatory surgery,3
2020-10-01,hypertension,ambulatory surgery,6
2020-11-01,hypertension,ambulatory surgery,7
2020-12-01,hypertension,ambulatory surgery,6
2021-01-01,hypertension,ambulatory surgery,3
2021-02-01,hypertension,ambulatory surgery,7
2021-03-01,hypertension,ambulatory surgery,6
2021-04-01,hypertension,ambulatory surgery,5
2021-05-01,hypertension,ambulatory surgery,6
2021-06-01,hypertension,ambulatory surgery,5
2021-07-01,hypertension,ambulatory surgery,3
2021-08-01,hypertension,ambulatory surgery,3
2021-09-01,hypertension,ambulatory surgery,1
2021-10-01,hypertension,ambulatory surgery,4
2021-11-01,hypertension,ambulatory surgery,5
2021-12-01,hypertension,ambulatory surgery,9
2020-12-01,mood disorders (excluding depression),ambulatory surgery,1
2021-06-01,mood disorders (excluding depression),ambulatory surgery,1
2020-03-01,non-mood psychotic disorders,ambulatory surgery,1
2021-07-01,non-mood psychotic disorders,ambulatory surgery,1
2018-01-01,obesity,ambulatory surgery,2
2018-02-01,obesity,ambulatory surgery,1
